"1","2013","10","Internationale Vrouwendag","De tiende weektopper van 2013. Dit keer zijn het en hoop toppers, dankzij Vrouwendag","<p>Op 8 maart was het alweer zover: Internationale Vrouwendag. Ter ere van alle vrouwen die ik liefheb, de vrouwen die worden onderdrukt en vrouwen in vrijheid. Benoem ik in <strong>week 10-2013</strong> alle vrouwen tot Toppers van de week.</p>\n\n<p>Hoera!</p>\n","2013-07-04 22:34:26","2013-07-04 22:34:26"
"2","2013","11","Lang leve de Paus","Bij het aantreden van een nieuwe Paus zijn wij bij Dag Van De Week ook de beroerdste niet. In week 11 hebben we een Top Paus!","<p>Op 28 februari 2013 trad paus Benedictus af als voorman van het Vaticaan. Deze actie liet veel stof op waaien, want in alle jaren daarvoor is het slechts &eacute;&eacute;n keer voorgekomen dat een paus zijn ambt vrijwillig heeft beeindigt. Alle overige pausen stierven in het harnas (of in de pausmobiel ;) ).</p>\n\n<p>Op 13 maart werd de nieuwe paus gekozen, die de pauselijke naam Fransiscus zal dragen.</p>\n\n<p>Vanwege de bijzondere situatie en het feit dat wij de paus graag een hart onder de riem willen steken, roepen wij de niewe paus Fransiscus uit tot&nbsp;<strong>Topper Van De Week 11-2013</strong>.</p>\n\n<p>Hoera!</p>\n","2013-07-04 22:45:29","2013-07-04 22:45:29"
"3","2013","28","Aziatische Piloot Sum Ting Wong","Afgelopen week was er ernstig vliegtuig ongeluk. Per abuis zijn echter de verkeerde namen doorgegeven aan de pers. Sum Tin Wong is daarom de Topper van de Week!","<p>Op 6 juli 2013 was er een ernstig ongeluk van de vliegmaatschappij Asian Airways. Het toestel (Boeing 777) was op weg van Seoul naar San Fransisco, maar crashte vlak naast de landingsbaan.</p>\n\n<p>Later wist een Amerikaans TV station de namen te welden van de piloten die aan boord waren. Helaas bleek er een vergissing in het spel te zijn en lijkt het om een grap te gaan De vermeende piloten hadden de volgende namen:</p>\n\n<ul>\n	<li>Sum Tin Wong (gezagvoerder)</li>\n	<li><span style=\"color:rgb(26, 26, 26); font-family:arial\">Wi Tu Lo&nbsp;</span></li>\n	<li><span style=\"color:rgb(26, 26, 26); font-family:arial\">Ho Lee Fuk</span></li>\n	<li><span style=\"color:rgb(26, 26, 26); font-family:arial\">Bang Ding Ow</span></li>\n</ul>\n\n<p><span style=\"color:rgb(26, 26, 26); font-family:arial\">​Het televisiestation heeft inmiddels zijn excuses gemaakt. Ondanks dat er geen piloten zijn met deze naam, roepen wij&nbsp;</span><strong>Sum Tin Wong</strong>&nbsp;uit tot Topper van de Week. Wil u meer weten over de kwestie, dan kunt u&nbsp;<a href=\"http://nos.nl/artikel/529376-mogelijk-stappen-om-ho-lee-fuk.html\" style=\"line-height: 1.6em;\" target=\"_blank\">hier</a>&nbsp;meer lezen.</p>\n\n<p>Wij hopen dat Sum Ting Wong nog snel van zich laat horen. Hoera!</p>\n","2013-07-14 18:53:58","2013-07-14 18:53:58"
"4","2013","27","Douglas Engelbart","Op 4 juli is Douglas Engelbart overleden. Als computerwetenschapper heeft hij veel betekent. Engelbart is de uitvinder van de muis en daarom Topper van de Week!","<p>Met het overlijden van&nbsp;<strong>Douglas Engelbart</strong>&nbsp;is er een groots man heengegaan. Met tal van uitvindingen en onderzoeken heeft hij baanbrekende en&nbsp;niet meer weg te denken zaken uitgevonden,bedacht en verbeterd.</p>\n\n<h2>Computer muis</h2>\n\n<p>Zijn meest gebruikte vinding is die van de muis. In 1964 was hij al bezig met een concept om dit mogelijk te maken. Douglas Engelbert is 88 jaar geworden.</p>\n\n<p>Mede om zijn vinding voor de muis, maar ook voor al zijn andere werken, roepen wij in <strong>week 27</strong>&nbsp;Douglas Engelbart uit tot Topper van de Week. Hieperdepiep, Hoera!</p>\n","2013-07-14 20:52:26","2013-07-14 20:52:26"
"5","2013","15","Van Iron Lady naar oud ijzer","Vriend of vijand, Margaret Thatcher deed veel stof opwaaien. De Iron Lade overleed op 8 april 2013. Daarom is zij deze week uitgeroepen tot Topper Van De Week!","<p>Na 88 jaar kwam er een einde aan het leven van&nbsp;<strong>Margaret Thatcher</strong>. Als premier en politica heeft ze veel stof doen opwaaien en geregeerd met ijzeren hand. Dat leverde haar de bjnaam&nbsp;<strong>Iron Lady</strong>&nbsp;op.</p>\n\n<h2>Politieke Loopbaan</h2>\n\n<p>Vanaf 1959 had ze een zetel in het Lagerhuis en onder Edward Heath was ze minister van onderwijs. In 1979 was ze zelf premier (Prime Minister) en na een aantal keren herkozen te worden was ze met 11 jaar de langst zittende premier.</p>\n\n<p>Omdat ze het land heeft hervormd en ze haar mannetje stond, maar ook gewoon omdat ze&nbsp;<strong>Margaret Thatcher</strong>&nbsp;is, roepen wij in week 15 in het jaar des Heere 2013,&nbsp;<strong>The Iron Lady</strong>&nbsp;uit top Topper van de Week. Moge zij rusten in Vrede.</p>\n","2013-07-14 21:57:43","2013-07-14 21:57:43"
"6","2013","18","Griekse dag zonder Arbeid","Dag van de Arbeid. 1 mei 2013 gingen de Grieken de straat op om te protesteren tegen de bezuinigingen. En daarom zijn de Grieken deze week een Toppertje!","<p>Op 1 mei 2013 waren de Grieken het zat. Het land was bankroet maar de regering bleef maar snijden, onder druk van de geldschieters. Terecht of niet, maar de Grieken waren boos. Woedend.</p>\n\n<h2>Dag van de Arbeid</h2>\n\n<p>Op 1 mei is het ook Dag van de Arbeid, maar de Grieken dachten daar anders over. In plaats van een feestelijke dag, werd het een dag van protest. En omdat de inwoners van het land met Tzatziki en Gyros het vuur van de gril doofden en het vuur op straat hebben ontstoken, zijn zij de Toppers van de Burgerij. En hier op Dag van de Week betekent dit ook een vermelding in het jaaroverzicht van 2013. En dus, voor alle Grieken, en voor hen die&nbsp;Tzatziki, Mixed Grill, Gyros en Uzo tot de primaire levensbehoeften rekenen, roep ik de Grieken uit tot&nbsp;<strong>Topper van de Week 18-2013</strong>.&nbsp;</p>\n\n<h2>Tip</h2>\n\n<p>En voor hen die de deur niet meer uitwillen voor een lekkere Tzatziki, hier is een recept:&nbsp;<a href=\"http://www.grieksegids.nl/gerechten/tzatziki.php\">http://www.grieksegids.nl/gerechten/tzatziki.php</a></p>\n","2013-07-14 23:38:38","2013-07-14 23:38:38"
"7","2013","17","Prinsheerlijk","Op 30 april is de nieuwe Koning ingehuldigd. In week 17 was zijn laatste week als Prins. Daarom is Prins Willem-Alexander Topper van de Week!","<p>Het is bijna zover, volgende week op 30 april krijgen wij een nieuwe Vorst. Omdat hij getrouwd is met een vrouw die is geboren in het land van de Argentijnse Biefstuk, hij de eerste Koning zal zijn na een reeks van Koninginnen en de Koning geen Bertha 26 is, roepen wij Prins Willem-Alexander uit tot Topper van de Week en wensen wij hem veel succes en wijsheid om zijn taak te kunnen vervullen.</p>\n\n<p>Lang Leve de Koning! Hoera! Hoera! Hoera!</p>\n","2013-07-15 00:40:23","2013-07-15 00:40:23"
"8","2012","02","Cruise valt in het water","Na het brengen van een zeemansgroet verging de Costa Concordia. Daarom is de Kapitein Topper van de Week!","<p>Stel: Je bent kaptitein en je hebt al enige jaren kapitein ervaring. U weet ook dat uw schip een bepaalde diepgang heeft en dat het midden van de vaargeul daarom de voorkeur heeft.</p>\n\n<p>Maar, stel nu dat u de grijze massa van een visstick heeft en stel nu dat u <strong>WEL </strong>kapitein bent, maar <strong>NIET</strong>&nbsp;beschikt over een vorm van denkvermogen. Dan kunt u altijd nog aan de slag als gezagvoerder van de <strong>Costa Concordia.&nbsp;</strong>Op 13 januari 2012 verging dit cruiseschip in de&nbsp;Tyrreense Zee. Het schip liep op een rots, maar kon nog doorvaren. Enige tijd later rolde het schip alsnog om door de stroming en het extra gewicht aan water in het schip.</p>\n\n<p>Dit ongeluk heeft 32 mensen het leven gekost.</p>\n\n<p>Omdat de kapitein als een van de eerste het schip heeft verlaten en de rotsen &#39;over het hoofd&#39; heeft gezien, roepen wij (ex)-kapitein&nbsp;<span style=\"color:rgb(0, 0, 0); font-family:sans-serif; font-size:12.571428298950195px\">Schettino&nbsp;</span>&nbsp;uit tot de Anti Topper van de Week! &nbsp;Een anti-hoeraatje dan maar?</p>\n","2013-07-17 20:52:22","2013-07-17 20:52:22"
"9","2012","28","Celeste Holm, wie kende haar niet?","Op 15 juli 2012 overleed actrice Celeste Holm. De Amerikaanse speelde in diverse films. Celeste leefde van 1917-2012","<p>In de jaren 40 en 50 van hing ze vast in elke kantine of garage.&nbsp;<span dir=\"auto\">Celeste Holm, een Amerikaanse actrice, overleed op 95 jarige leeftijd. Ze speelde in diverse grote producties uit haar tijd, zoals&nbsp;</span><em>Three Little Girls in Blue (1946)</em>, <em>The Snake Pit (1948)</em>, <em>High Society (1956)</em> en <em>Tom Sawyer (1973)</em>.</p>\n\n<p>Vanwege haar rol in &#39;<strong>The Gentleman&#39;s Agreement</strong>&#39; (1947) en omdat Celeste gewoon Celeste is, roepen wij de overleden actrice uit tot Topper van de Week 2012-28! Driewerf Hoera, en nu lekker rusten.</p>\n","2013-07-17 21:20:55","2013-07-17 21:20:55"
"10","2013","29","Vierdaagse","vierdaagse","<p>Het was weer de week van de Nijmeegse vierdaagse. 42.000 wandelaars gingen de strijd aan met de hitte en zichzelf. Uiteindelijk wisten iets meer dan 39.000 personen het kruisje te behalen.</p>\n\n<h2>Vriend</h2>\n\n<p>Naast al&nbsp;die 42.000 personen deed er ook een vriend mee. En omdat hij ondanks zijn afzien toch zijn absolute doorzettingsvermogen heeft moeten aanspreken, en met succes de vierdaagse heeft uitgelopen, roep ik in week 29 Dennis uit tot <strong>Topper van de Week</strong> 29-2013! Hoera! Hoera! Hatsjikidee! (en dan nu een Glaasje prik en een flinke portie borrelnootjes) ;)</p>\n","2013-07-21 09:03:19","2013-07-21 09:11:37"
